exp_id	symbol	lookforward_bars	entry_threshold	num_trades	win_rate	sharpe	return_dd_ratio	total_return_pct	max_dd_pct	profit_factor	test_auc	avg_hold_bars	status	elapsed_s
WG_EURCHF_lf030_et57	EURCHF	30	0.58	183	0.3879781420765027	-4.437983250616462	-0.8805266565990778	-15.923679118443312	18.08426695444576	0.5022769950149819	0.4571191962344406	30.0	OK	57.2
WG_EURCHF_lf030_et55	EURCHF	30	0.55	219	0.3789954337899543	-4.436810289808982	-0.9330209051610775	-18.75063113786379	20.09668918900233	0.5020997833773965	0.4571191962344406	30.0	OK	57.2
WG_EURCHF_lf060_et57	EURCHF	60	0.58	117	0.452991452991453	-2.562173371371129	-0.9050286778434505	-12.754678786237761	14.093121133609019	0.5706798560578493	0.4569306980123012	60.0	OK	57.3
WG_EURCHF_lf030_et60	EURCHF	30	0.6	161	0.37267080745341613	-5.198959651795643	-0.911190842487657	-16.67405080255794	18.2991861035783	0.44143449748590463	0.4571191962344406	30.0	OK	57.6
WG_EURCHF_lf030_et54	EURCHF	30	0.54	230	0.3869565217391304	-4.883187629390065	-0.9454787944728472	-21.36945007428239	22.601723274181897	0.4679573840072676	0.4571191962344406	30.0	OK	57.8
WG_EURCHF_lf030_et65	EURCHF	30	0.65	105	0.4095238095238095	-4.106311542781027	-0.8968073372023325	-10.466880243750365	11.671269635686409	0.5266956450281454	0.4571191962344406	30.0	OK	58.5
WG_EURCHF_lf030_et56	EURCHF	30	0.57	194	0.38144329896907214	-4.27237171402333	-0.8770971062080086	-16.48007413415	18.78933816735414	0.5119333481093374	0.4571191962344406	30.0	OK	58.8
WG_EURCHF_lf060_et56	EURCHF	60	0.57	124	0.43548387096774194	-2.93952866196949	-0.9220445163229031	-15.358418912513894	16.65691692822272	0.519570816195979	0.4569306980123012	60.0	OK	59.3
WG_EURCHF_lf060_et55	EURCHF	60	0.55	133	0.43609022556390975	-1.9574846657406642	-0.8758531974594518	-10.958012039305364	12.511242832806662	0.6497139936949975	0.4569306980123012	60.0	OK	59.6
WG_EURCHF_lf030_et62	EURCHF	30	0.62	132	0.3787878787878788	-4.843153875614777	-0.9107310975773392	-13.689805828020097	15.031666168462596	0.4731664679403002	0.4571191962344406	30.0	OK	59.9
WG_EURCHF_lf060_et54	EURCHF	60	0.54	136	0.4338235294117647	-2.0341940294850795	-0.8794538047676865	-11.235556990597217	12.775607916740054	0.6377844167936824	0.4569306980123012	60.0	OK	60.5
WG_EURCHF_lf060_et60	EURCHF	60	0.6	102	0.39215686274509803	-2.7474897762472277	-0.9103426946050358	-12.025842138759602	13.21023633190924	0.5307779870054383	0.4569306980123012	60.0	OK	61.7
WG_GBPCAD_lf030_et54	GBPCAD	30	0.54	288	0.4930555555555556	-0.15957055482405716	-0.2303758761952552	-1.3833195800902365	6.004619940838785	0.976239704044485	0.4944702311609845	30.0	OK	49.6
WG_GBPCAD_lf030_et55	GBPCAD	30	0.55	281	0.4697508896797153	-0.3266886711747213	-0.4177022242349819	-2.4869032114293588	5.953770574202953	0.9508071419897156	0.4944702311609845	30.0	OK	49.2
WG_GBPCAD_lf030_et56	GBPCAD	30	0.57	257	0.47470817120622566	-0.3919078334831656	-0.3603119898446027	-2.8073332246887905	7.791395523361719	0.9426405325725454	0.4944702311609845	30.0	OK	48.4
WG_EURCHF_lf120_et55	EURCHF	120	0.55	69	0.391304347826087	-0.8885020504752077	-0.7990896141910208	-5.273296691648655	6.59913055807541	0.7554187521575093	0.4872805477505663	120.0	OK	56.1
WG_EURCHF_lf060_et65	EURCHF	60	0.65	75	0.4	-3.1019295941115534	-0.740997369400922	-9.314624028415452	12.57038744408242	0.4832360306146921	0.4569306980123012	60.0	OK	56.5
WG_EURCHF_lf120_et56	EURCHF	120	0.57	67	0.373134328358209	-1.081038793471834	-0.8303246777676115	-6.063590050055745	7.3026735353189185	0.7172458440721563	0.4872805477505663	120.0	OK	56.0
